Student Name,Year Level,Student Number,Homework/Assignment,Time Allocation,Reading and Note-Taking,Study Period Procedure,Written Works,Examination Taking,Teachers Consultation
Michael Thomas,1,24427517,"['Strongly Agree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Disagree', 'Disagree']"
Michael Mcguire,3,22418919,"['Strongly Disagree', 'Agree', 'Strongly Disagree']","['Agree', 'Agree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Agree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Jonathan Smith,1,24867902,"['Agree', 'Strongly Agree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Agree', 'Strongly Disagree']","['Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Agree']"
Jaime Phelps,2,23533663,"['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Strongly Agree']","['Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Disagree', 'Strongly Disagree']","['Strongly Agree', 'Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Strongly Disagree']"
Nicole Hamilton,3,22548289,"['Agree', 'Disagree', 'Strongly Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']"
Samuel Wilkins,2,23339804,"['Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']","['Agree', 'Agree', 'Disagree']","['Disagree', 'Strongly Agree', 'Disagree']","['Agree', 'Agree', 'Strongly Agree']","['Disagree', 'Agree', 'Strongly Disagree']","['Disagree', 'Agree', 'Disagree']"
Brendan Hunt,2,23322983,"['Agree', 'Strongly Disagree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Agree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Agree', 'Strongly Disagree', 'Agree']","['Strongly Disagree', 'Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Agree', 'Strongly Agree']"
Raymond Harper MD,2,23250145,"['Strongly Disagree', 'Strongly Disagree', 'Disagree']","['Strongly Disagree', 'Disagree', 'Disagree']","['Disagree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']","['Disagree', 'Agree', 'Agree']","['Strongly Agree', 'Disagree', 'Disagree']"
Jamie Williams,3,22796657,"['Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Agree', 'Strongly Agree', 'Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']","['Agree', 'Agree', 'Strongly Disagree']","['Strongly Agree', 'Strongly Disagree', 'Disagree']"
Tom Combs,1,24891160,"['Agree', 'Agree', 'Agree']","['Strongly Agree', 'Strongly Disagree', 'Strongly Agree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Disagree']","['Strongly Disagree', 'Strongly Disagree', 'Strongly Agree']","['Agree', 'Agree', 'Agree']","['Strongly Disagree', 'Agree', 'Strongly Agree']","['Agree', 'Strongly Disagree', 'Strongly Disagree']"
